140	3328	306.4453861	
141	231	303.9224664	
142	5722	303.9026251	
143	2625	303.1045752	
144	7821	302.1825397	
145	1632	301.6758242	
146	6245	301.1111111	
147	3824	299.6969697	
148	904	299.6212625	
149	6411	299.2857143	
150	8324	299.1357789	
151	8857	298.5323887	
152	2886	298.5160931	
153	9761	298.4990663	
154	9880	297.945845	
155	173	297.6621478	
156	9525	297.6016908	
157	6620	297.5917546	
158	7027	297.5126132	
159	1826	297.0045491	
160	2663	296.4974323	
161	426	296.3690476	
162	1927	295.8735967	
163	264	295.8029879	
164	1886	295.651544	
165	1857	294.8351648	
166	2444	294.7222222	
167	1932	294.6367521	
168	5732	293.9672827	
169	9881	293.7791783	
170	8796	293.489011	
171	8689	293.2575758	
172	6861	293.1875477	
173	1883	292.834275	
174	6266	292.5403252	
175	1179	292.4242424	
176	8645	292.1998834	
177	9691	292.0075758	
178	2420	291.9444444	
179	2203	291.7496392	
180	5088	291.6228344	
181	1215	291.1345857	
182	1610	291.0964912	
183	7409	291.0882432	
184	9574	290.9872331	
185	699	289.6193953	
186	9469	289.4191919	
187	4998	288.9123377	
188	1436	288.8490668	
189	2366	288.5107817	
190	6908	288.3741258	
191	1514	288.2845192	
192	9371	287.8907204	
193	2695	287.6774483	
194	389	287.5250627	
195	1706	287.3048194	
196	7128	287.2985348	
197	9092	286.5680412	
198	1018	286.5018315	
199	234	286.2985114	
200	8298	285.6729115	
201	1716	284.6825397	
202	3932	284.6282373	
203	3003	284.4863217	
204	5862	284.4444444	
205	844	284.3191019	
206	440	284.0726817	
207	6486	283.859916	
208	8624	283.2117882	
209	137	282.8113553	
210	5487	282.6562327	
211	692	282.275641	
212	5548	282.1291468	
213	6413	281.7553688	
214	7746	281.6458542	
215	209	281.6302162	
216	1348	281.5699447	
217	5361	280.9331206	
218	3596	280.7323232	
219	7129	280.7140958	
220	2980	280.5221834	
221	9174	280.3035587	
222	1254	280.1984127	
223	8625	280.0815598	
224	3982	279.8946886	
225	6927	279.2191142	
226	1967	279.0056022	
227	8611	278.5470085	
228	8910	278.4354268	
229	7558	278.4343938	
230	2153	277.979798	
231	5702	277.6984127	
232	6307	277.4771321	
233	9015	277.4013745	
234	7550	277.3984594	
235	6076	276.5710937	
236	6685	276.5334665	
237	192	276.4186318	
238	3483	276.0578977	
239	3000	276.0014006	
240	2373	275.3210678	
241	1461	275.0564972	
242	7870	275.0418773	
243	4691	274.6072729	
244	7258	274.6001221	
245	5173	274.0498138	
246	3472	273.8762626	
247	6422	273.6507937	
248	8302	273.5578977	
249	3793	273.4719969	
250	7848	273.3991676	
251	8895	273.0194805	
252	7452	272.8876938	
253	9829	272.6441103	
254	4817	272.4790356	
255	4328	272.4625122	
256	4331	272.1679198	
257	5484	272.1405229	
258	8310	271.2502054	
259	7840	271.2301587	
260	6333	271.0888858	
261	67	270.925643	
262	5070	270.8898305	
263	3861	270.7759185	
264	3004	270.7353505	
265	1870	270.7104415	
266	9542	270.335385	
267	274	270.2447552	
268	4100	270.1055168	
269	4805	269.9080087	
270	3864	269.8351648	
271	3999	269.7663186	
272	8639	269.6825397	
273	4162	269.6632534	
274	5808	269.6062271	
275	193	269.4466392	
276	7708	269.3942577	
277	4322	269.3097439	
278	4765	269.0366067	
279	875	268.9752791	
280	6508	268.7337662	
281	4942	268.4749461	
282	8661	268.3898305	
283	3157	268.1677064	
284	1845	267.843612	
285	720	267.5425697	
286	949	267.4975025	
287	2837	267.4603175	
288	683	267.3159044	
289	9370	267.2727273	
290	4893	267.2607817	
291	9854	267.2222222	
292	5525	267.0634921	
293	5910	266.9022644	
294	9099	266.3215067	
295	2313	266.2582739	
296	6600	266.0160931	
297	9478	265.8630925	
298	4275	265.1394698	
299	1828	264.8822256	
300	3388	264.8307656	
301	7601	264.380745	
302	4469	264.3686869	
303	4799	264.0873016	
304	3397	263.8923569	
305	1844	263.4615385	
306	4264	263.4536542	
307	6150	263.3008658	
308	4678	262.8641457	
309	2549	262.6755448	
310	42	262.1405229	
311	5463	262.1125117	
312	6027	261.854067	
313	5079	261.7002442	
314	284	261.5079365	
315	7297	261.3696285	
316	3826	261.3492064	
317	6355	261.1039089	
318	3113	260.9065934	
319	8884	260.8230392	
320	5573	260.4563492	
321	8470	260.3373016	
322	3164	260.1600915	
323	4320	259.0726817	
324	4855	258.866021	
325	6758	258.8219134	
326	6053	258.5964912	
327	7460	258.5689311	
328	9362	258.149401	
329	8435	257.9731638	
330	2891	257.8187335	
331	6604	257.8113553	
332	6209	257.7631579	
333	7171	257.7301354	
334	912	257.6923077	
335	974	257.6879085	
336	2498	257.4975025	
337	4092	256.9161639	
338	1737	256.880745	
339	6813	256.541514	
340	947	256.3929872	
341	2009	256.1706349	
342	7663	256.0882432	
343	674	256.0703055	
344	7321	255.9294872	
345	3890	255.5728993	
346	681	255.522533	
347	197	255.3863212	
348	5551	255.1020935	
349	7069	254.9801587	
350	4726	254.8886582	
351	6337	254.8636214	
352	6524	254.5075758	
353	8387	254.1414141	
354	2593	253.9180672	
355	7788	253.7145058	
356	8613	253.4498835	
357	2189	253.2117882	
358	9177	253.1746032	
359	6747	252.8216487	
360	6952	252.4644158	
361	3423	251.5151515	
362	7338	251.3324176	
363	7082	251.3064972	
364	3233	251.3064972	
365	4361	251.3064972	
366	1888	251.154982	
367	6252	250.6782107	
368	1816	250.4700855	
369	2855	250.3373016	
370	2505	250.2698179	
371	6310	250.0239396	
372	8177	249.9242424	
373	6175	249.7691198	
374	24	249.702381	
375	3637	249.4537815	
376	8230	249.1666667	
377	9610	249.0131579	
378	3110	248.8696285	
379	9868	248.8558664	
380	4986	248.8131313	
381	2396	248.8095238	
382	1429	248.5353535	
383	9386	248.5149573	
384	2736	248.3333333	
385	6841	248.0409357	
386	6105	248.0288176	
387	1995	247.6816239	
388	2578	246.9282107	
389	6934	246.7929293	
390	6654	246.7832168	
391	5074	246.7151781	
392	7611	246.7094017	
393	6042	246.5085174	
394	5147	246.3492064	
395	8159	246.2990196	
396	4547	246.0207337	
397	3303	245.9727772	
398	2959	245.9455101	
399	4396	245.8614485	
400	3301	245.6752458	
401	6332	245.675184	
402	1933	245.24029	
403	4340	244.8902894	
404	3116	244.8181394	
405	9132	244.7853535	
406	4089	244.7456969	
407	5581	244.6134421	
408	4786	244.5640729	
409	7525	244.084275	
410	3082	243.5014006	
411	3846	243.4722222	
412	7166	243.1944444	
413	7864	243.1456303	
414	6701	242.8180412	
415	1013	242.7777778	
416	9537	242.3952695	
417	8862	241.9444444	
418	2667	241.2827858	
419	6450	240.9418768	
420	6662	240.8818448	
421	4864	240.7347079	
422	8614	240.479798	
423	9232	240.2325711	
424	9938	240.2140784	
425	7417	240.1262626	
426	2703	239.9176083	
427	5713	239.8021682	
428	2259	239.3223702	
429	9194	239.0079365	
430	2393	238.7588289	
431	8237	238.4447755	
432	4661	238.2383154	
433	109	238.1782106	
434	5984	237.429972	
435	3761	237.3484849	
436	9419	237.2853535	
437	9514	236.6346154	
438	561	236.1529884	
439	3310	236.0588282	
440	1486	235.7242036	
441	3240	235.6722689	
442	4151	235.6493507	
443	4823	235.4111425	
444	185	234.9206349	
445	8122	233.5353535	
446	7425	233.4500467	
447	5442	232.8363303	
448	6038	232.4837662	
449	7745	231.9444444	
450	5818	231.6979113	
451	3247	230.8766234	
452	1030	229.1666667	
453	6624	229.0151515	
454	8252	228.9752791	
455	7124	228.7985114	
456	6622	228.4915213	
457	628	228.1553427	
458	97	227.5225651	
459	5139	227.0833333	
460	5610	227.063492	
461	6206	226.9396141	
462	9890	226.8477225	
463	9909	226.5222536	
464	7585	226.3585434	
465	2346	225.2777778	
466	2769	224.3361064	
467	6892	224.0909091	
468	4957	223.6529884	
469	2834	223.6421911	
470	2046	223.5964912	
471	568	223.525641	
472	9342	223.4325396	
473	9037	223.3823529	
474	9602	223.3140729	
475	2032	221.9780219	
476	2174	221.890219	
477	9138	221.7832167	
478	8202	221.7512531	
479	591	221.4325231	
480	1501	220.8065954	
481	2159	220.6818181	
482	4900	220.6385281	
483	2236	219.3107769	
484	3027	219.2649894	
485	8238	218.4407536	
486	9754	218.220088	
487	3543	218.2142857	
488	321	218.1432456	
489	6668	218.0252101	
490	5975	217.8196551	
491	3371	217.7020202	
492	5694	217.6755448	
493	7179	217.6020935	
494	3319	217.4206349	
495	820	217.1028718	
496	2479	216.9799772	
497	9601	216.7261904	
498	4375	216.7105375	
499	1616	216.2155388	
500	8012	215.7905983	
501	1182	215.7178932	
502	235	215.6782107	
503	3907	215.6035631	
504	8817	215.42807	
505	2440	215.2020202	
506	4174	215.1923077	
507	1810	214.8448773	
508	4947	214.6883419	
509	4816	214.5670996	
510	6321	214.5609945	
511	3196	214.4298245	
512	5403	214.4177064	
513	6292	214.2156863	
514	3104	214.2156862	
515	1614	214.1590613	
516	3674	213.8219134	
517	8452	213.5821382	
518	5699	213.5659044	
519	9956	213.3333333	
520	4569	212.9738562	
521	4191	212.7020202	
522	7344	212.1745199	
523	2649	211.9444444	
524	8810	211.854067	
525	8901	211.6688614	
526	1928	211.6550993	
527	895	211.5699447	
528	8330	211.4969241	
529	4073	211.3461538	
530	4393	211.0939061	
531	8573	210.9024437	
532	9231	210.8104654	
533	484	210.7539683	
534	4841	210.6492378	
535	8175	210.2488049	
536	4126	210.1923077	
537	7961	209.8768027	
538	4056	209.7768897	
539	4709	209.6464646	
540	1651	209.5177045	
541	4898	209.4755244	
542	5162	209.4587616	
543	9917	209.3986569	
